game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
anno 1800 console edition,0,0,0,0,5342000
assassin’s creed mirage,0,0,0,0,3220000
assassin’s creed shadows,0,0,0,0,8806000
assassin’s creed valhalla,0,0,0,0,5910000
battlefield 6,0,0,4600000,0,0
black myth wukong,0,0,0,0,5490000
call of duty black ops 6,0,0,0,0,6173000
call of duty black ops 7,0,7523000,0,0,0
dying light the beast,0,6267000,3771000,0,0
ea sports fc 24,0,0,0,0,3080000
ea sports fc 25,0,0,0,0,5596000
ea sports fc 25 ps4 و,240000,1320000,1760000,0,0
ea sports fc 26 ps4 و,490000,1380000,1590000,0,0
elden ring,0,0,0,0,3079000
elden ring shadow of the erdtree,0,0,0,0,9821000
final fantasy xvi,0,0,0,0,6836000
gears of war reloaded,0,3600000,0,0,0
gran turismo 7,0,0,0,0,3783000
hitman world of assassination,0,0,0,0,6536000
hogwarts legacy,0,0,0,0,6716000
ice age scrats nutty adventure,0,0,0,0,6537000
kingdom come deliverance ii,0,0,0,0,5490000
mortal kombat 1,0,0,0,0,3243000
nfs need for speed unbound,0,0,0,0,5044000
nickelodeon all star brawl 2,0,0,0,0,6536000
rainbow six siege x,0,1780000,1960000,0,0
resident evil 4 remake,0,0,0,0,3642000
resident evil requiem,0,6556000,5444000,0,0
rise of the ronin,0,0,0,0,10716000
star wars outlaws,0,0,0,0,3690000
tekken 8,0,0,0,0,3361000
the callisto protocol,0,0,0,0,4746000
the last of us part ii remastered,0,0,0,0,4190000
ظرفیتی 007first light,0,7980000,0,0,0
ظرفیتی 1896 hunt showdown,220000,2536000,2656000,0,0
ظرفیتی 2022 call of duty modern warfare 2 ii ps4 و,0,3552000,250000,0,0
ظرفیتی 2023 call of duty modern warfare 3 iii ps4 و,0,3909000,5424000,0,0
ظرفیتی 7days to die,0,0,3850000,0,0
ظرفیتی a plague tale innocence ps4 و,0,3122000,220000,0,0
ظرفیتی a plague tale requiem ps4 و,0,0,390000,0,0
ظرفیتی a way out ps4 و,0,840000,190000,0,0
ظرفیتی ace combat 7 skies unknown ps4 و,240000,1747000,220000,0,0
ظرفیتی age of empires ii definitive edition,0,4200000,2218000,0,0
ظرفیتی ai limit,0,4400000,3755000,0,0
ظرفیتی alan wake remastered ps4 و,250000,1463000,1463000,0,0
ظرفیتی alaskan road truckers highway edition,0,3970000,2800000,0,0
ظرفیتی aliens dark descent ps4 و,220000,3332000,290000,0,0
ظرفیتی aliens fireteam elite ps4 و,0,3938000,3332000,0,0
ظرفیتی alone in the dark,0,6536000,5044000,0,0
ظرفیتی anno 1800™ console edition ps4 و,0,0,1970000,0,0
ظرفیتی arc raiders,590000,0,2022000,0,0
ظرفیتی ark survival ascended,0,5400000,4400000,0,0
ظرفیتی armored core vi fires of rubicon ps4 و,290000,4386000,4034000,0,0
ظرفیتی assassin's creed black flag resynced,1590000,6410000,3864000,0,0
ظرفیتی assassin's creed iv black flag ps4 و,298000,2000000,3013000,0,0
ظرفیتی assassin's creed mirage ps4 و,0,2394000,290000,0,0
ظرفیتی assassin's creed mythology pack ps4 و,0,3500000,350000,0,0
ظرفیتی assassin's creed odyssey,220000,2000000,2060000,0,0
ظرفیتی assassin's creed origins ps4 و,220000,1000000,1137000,0,0
ظرفیتی assassin's creed syndicate ps4 و,220000,1463000,1642000,0,0
ظرفیتی assassin's creed triple pack ps4 و,320000,2358000,2656000,0,0
ظرفیتی assassin's creed unity ps4 و,220000,1761000,220000,0,0
ظرفیتی assassins creed shadows,0,4585000,3523000,0,0
ظرفیتی assassin’s creed unity ps4 و,298000,989000,790000,0,0
ظرفیتی assetto corsa competizione ps4 و,240000,1642000,2358000,0,0
ظرفیتی assetto corsa ps4 و,0,1780000,190000,0,0
ظرفیتی astro bot,0,0,4543000,0,0
ظرفیتی atomfall ps4 و,340000,2580000,3960000,0,0
ظرفیتی atomic heart ps4 و,0,6000000,4772000,0,0
ظرفیتی avatar frontiers of pandora,0,5930000,390000,0,0
ظرفیتی baldur's gate 3,0,0,4200000,0,0
ظرفیتی banishers ghosts of new eden,0,0,5000000,0,0
ظرفیتی batman arkham knight premium edition ps4 و,0,4174000,190000,0,0
ظرفیتی battlefield 1 ps4 و,150000,1350000,1803000,0,0
ظرفیتی battlefield 4 ps4 و,0,2772000,2070000,0,0
ظرفیتی beat saber ps4 و,0,3968000,794000,0,0
ظرفیتی biomutant ps4 و,190000,2508000,150000,0,0
ظرفیتی bioshock remastered ps4 و,0,2000000,2800000,0,0
ظرفیتی bioshock the collection ps4 و,220000,1484000,220000,0,0
ظرفیتی black myth wukong,0,5980000,4200000,0,0
ظرفیتی bleach rebirth of souls ps4 و,0,2587000,4304000,0,0
ظرفیتی bloodborne ps4 و,0,2600000,2405000,0,0
ظرفیتی borderlands 4,0,6580000,4980000,0,0
ظرفیتی brothers a tale of two sons remake,0,0,1686000,0,0
ظرفیتی call of duty black ops 4,0,1200000,1704000,0,0
ظرفیتی call of duty black ops 6,0,6000000,3857000,0,0
ظرفیتی call of duty modern warfare 4,0,8779000,6111000,0,0
ظرفیتی call of duty wwii ps4 و,190000,1164000,190000,0,0
ظرفیتی chivalry 2 ps4 و,0,2380000,350000,0,0
ظرفیتی clair obscur expedition 33,0,0,3755000,0,0
ظرفیتی classified france 44,298000,4382000,295000,0,0
ظرفیتی cod black ops iii - zombies chronicles edition ps4 و,240000,1462000,1463000,0,0
ظرفیتی commandos origins,0,6622000,3978000,0,0
ظرفیتی company of heroes 3,0,0,390000,0,0
ظرفیتی crash bandicoot crashiversary bundle ps4 و,0,1600000,2000000,0,0
ظرفیتی crash bandicoot™ bundle - n. sane trilogy + ctr nitro-fueled ps4 و,198000,1045000,1058000,0,0
ظرفیتی crash™ + spyro™ triple play bundle ps4 و,602000,1000000,250000,0,0
ظرفیتی crime boss rockay city,0,4413000,290000,0,0
ظرفیتی cronos the new dawn,0,5960000,3960000,0,0
ظرفیتی crusader kings iii ps4 و,0,5160000,290000,0,0
ظرفیتی crysis 3 remastered ps4 و,250000,2680000,2656000,0,0
ظرفیتی crysis remastered trilogy ps4 و,0,2825000,190000,0,0
ظرفیتی cuphead ps4 و,0,1746000,1494000,0,0
ظرفیتی dave the diver ps4 و,220000,1528000,1441000,0,0
ظرفیتی dayz ps4 و,0,1921000,290000,0,0
ظرفیتی dead island 2 ps4 و,0,3616000,290000,0,0
ظرفیتی dead rising deluxe remaster ps4 و,0,5657000,3970000,0,0
ظرفیتی death stranding 2 on the beach,0,6898000,3600000,0,0
ظرفیتی death stranding director’s cut,0,5648000,220000,0,0
ظرفیتی deathloop,0,2969000,190000,0,0
ظرفیتی destiny 2 lightfall ps4 و,170000,5000000,290000,0,0
ظرفیتی destiny 2 the final shape,0,3824000,3122000,0,0
ظرفیتی detroit become human ps4 و,0,3122000,150000,0,0
ظرفیتی devil may cry 5 + vergil ps4 و,0,1600000,220000,0,0
ظرفیتی diablo ii resurrected ps4 و,220000,1480000,220000,0,0
ظرفیتی diablo iii eternal collection ps4 و,603000,2190000,190000,0,0
ظرفیتی diablo iv ps4 و,0,4286000,290000,0,0
ظرفیتی doom the dark ages,0,7755000,5754000,0,0
ظرفیتی dragon age the veilguard,0,0,4829000,0,0
ظرفیتی dragon ball sparking! zero,0,7686000,5400000,0,0
ظرفیتی dredge ps4 و,190000,2106000,190000,0,0
ظرفیتی dynasty warriors origins,0,7316000,6051000,0,0
ظرفیتی ea sports fc 24 ps4 و,0,1761000,2060000,0,0
ظرفیتی ea sports wrc 24,0,0,4542000,0,0
ظرفیتی elden ring nightreign ps4 و,0,1755000,2200000,0,0
ظرفیتی elden ring ps4 و,0,2246000,290000,0,0
ظرفیتی elden ring shadow of the erdtree edition ps4 و,0,3788000,390000,0,0
ظرفیتی eternal strands,490000,4400000,2644000,0,0
ظرفیتی evil dead the game ps4 و,140000,4094000,220000,0,0
ظرفیتی exoprimal ps4 و,250000,4876000,290000,0,0
ظرفیتی expeditions a mudrunner game ps4 و,498000,1704000,2070000,0,0
ظرفیتی f.i.s.t. forged in shadow torch ps4 و,0,3079000,2185000,0,0
ظرفیتی f1 22 ps4 و,0,4646000,220000,0,0
ظرفیتی f1 24 ps4 و,400000,3794000,450000,0,0
ظرفیتی f1 25,0,0,5800000,0,0
ظرفیتی f1 manager 2022 ps4 و,0,4180000,3574000,0,0
ظرفیتی f1 manager 2024 ps4 و,320000,2194000,2722000,0,0
ظرفیتی far changing tides ps4 و,95000,2600000,150000,0,0
ظرفیتی farming simulator 22 ps4 و,0,1600000,220000,0,0
ظرفیتی farming simulator 25,0,6200000,4543000,0,0
ظرفیتی fifa 23 ps4 و,0,0,2464000,0,0
ظرفیتی final fantasy vii rebirth ps4 و,0,0,350000,0,0
ظرفیتی football manager 2024,0,5452000,290000,0,0
ظرفیتی football manager 26,0,6908000,4585000,0,0
ظرفیتی for honor ps4 و,0,2070000,190000,0,0
ظرفیتی forspoken ps4 و,290000,2358000,290000,0,0
ظرفیتی forza horizon 5,0,0,3500000,0,0
ظرفیتی frostpunk console edition ps4 و,0,2400000,3013000,0,0
ظرفیتی gangs of sherwood,298000,2970000,290000,0,0
ظرفیتی ghost of tsushima director’s cut ps4 و,198000,1484000,1164000,0,0
ظرفیتی ghost of yotei,0,6194000,4814000,0,0
ظرفیتی ghostwire tokyo,0,5880000,220000,0,0
ظرفیتی goat simulator remastered,0,4532000,3012000,0,0
ظرفیتی god of war ragnarök ps4 و,0,2960000,290000,0,0
ظرفیتی godfall ps4 و,0,4968000,150000,0,0
ظرفیتی gotham knights ps4 و,0,4540000,220000,0,0
ظرفیتی gran turismo 7 ps4 و,220000,2000000,290000,0,0
ظرفیتی gran turismo sport ps4 و,0,2420000,1718000,0,0
ظرفیتی grand theft auto vi,2290000,8035000,5632000,0,0
ظرفیتی grid legends ps4 و,0,3500000,220000,0,0
ظرفیتی hades ii ps4 و,0,3299000,2203000,0,0
ظرفیتی hades ps4 و,140000,2770000,2070000,0,0
ظرفیتی hellblade senuas sacrifice,0,3771000,1867000,0,0
ظرفیتی helldivers 2 ps4 و,0,0,4400000,0,0
ظرفیتی hello neighbor 2 ps4 و,0,4000000,190000,0,0
