game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
007 first light,0,0,0,0,13000000
1 driver ps1,0,0,0,0,250000
19 fifa ps4,0,0,0,0,4700000
2 fighting force 2,0,0,0,0,235000
2 knack ps4,0,0,0,0,8990000
2 teenage mutant ninja turtles ps2,0,0,0,0,235000
2 watch dogs ps4,0,0,0,0,4900000
2k26 نسخه استاندارد,0,0,0,0,5920000
4 project cars نسخه استاندارد ps4,0,0,0,0,6500000
40 winks ps1,0,0,0,0,199000
a plague tale innocence نسخه استاندارد,0,0,0,0,4873600
a plague tale requiem نسخه استاندارد,0,0,0,0,4824120
a quiet place the road ahead,0,0,0,0,3970940
ace combat 7 ps4,0,0,0,0,4020000
action bass ps1,0,0,0,0,64500
adventure time xbox 360,0,0,0,0,275000
agatha christie hercule poirot the london case نسخه استاندارد,0,0,0,0,7000000
airborne troops 2,0,0,0,0,220000
airborne troops countdown to d-day ps2,0,0,0,0,75500
airborne troops ps2,0,0,0,0,95000
aliens colonial marines xbox 360,0,0,0,0,82000
aliens ایکس باکس 360,0,0,0,0,155000
alone in the dark نسخه استاندارد,0,0,0,0,4873750
among us نسخه crewmate edition,0,0,0,0,5299900
angry birds 2 the movie - under pressure vr نسخه استاندارد ps4,0,0,0,0,5500000
animal crossing new horizons نینتندو سوئیچ,0,0,0,0,11499900
anno 1800 console edition نسخه console edition,0,0,0,0,4067880
arizona sunshine نسخه استاندارد ps4,0,0,0,0,4399900
army men omega soldier ps1,0,0,0,0,88300
ary and the secret of seasons نسخه استاندارد ps4,0,0,0,0,2899900
assassin&#039;s creed the rebel collection نسخه standard nintendo switch,0,0,0,0,10004000
assassin's creed brotherhood xbox 360,0,0,0,0,280000
assassin's creed chronicles نسخه بلوری ps4,0,0,0,0,4050000
assassin's creed ii xbox 360,0,0,0,0,172000
assassin's creed iii remastered نسخه استاندارد ps4,0,0,0,0,4299900
assassin's creed iv black flag ps4,0,0,0,0,4599900
assassin's creed odyssey نسخه بلوری ps4,0,0,0,0,3499900
assassin's creed rogue remastered نسخه استاندارد ps4,0,0,0,0,3880000
assassin's creed syndicate نسخه استاندارد ps4,0,0,0,0,3877670
assassin's creed the ezio collection نسخه استاندارد ps4,0,0,0,0,4240000
assassin's creed unity نسخه استاندارد ps4,0,0,0,0,4165690
assassin's creed valhalla نسخه ragnarok edition ps4,0,0,0,0,5199900
assassin's creed valhalla نسخه استاندارد,0,0,0,0,4436670
assassin's creed valhalla نسخه استاندارد ps4,0,0,0,0,3900000
assassins creed mirage,0,0,0,0,4199900
assassins creed mirage ps4,0,0,0,0,4769330
assassins creed xbox 360,0,0,0,0,210780
assassins creed ایکس باکس 360,0,0,0,0,160000
assassins origins ps4,0,0,0,0,4080000
assassin’s creed shadows,0,0,0,0,6517200
assassin’s creed xbox 360,0,0,0,0,191250
asterix & obelix xxl3 the crystal menhir نسخه استاندارد,0,0,0,0,5399900
astrobot,0,0,0,0,6600000
atari ps1,0,0,0,0,83000
attach of the toybots ps2,0,0,0,0,235000
attack of the toy bots ps2,0,0,0,0,235000
attack of the toybots ps2,0,0,0,0,255000
autobahn police simulator 3 نسخه استاندارد,0,0,0,0,7300000
avatar frontiers of pandora نسخه from ashes edition,0,0,0,0,7299900
avatar frontiers of pandora نسخه special edition,0,0,0,0,6050000
avatar the last airbender ps2,0,0,0,0,119000
avatar xbox 360,0,0,0,0,230000
back 4 blood نسخه استاندارد ps4,0,0,0,0,4050000
barbie horse trails نسخه استاندارد,0,0,0,0,6499900
barbie project friendship نسخه استاندارد,0,0,0,0,6499900
batlefield 2 modern combat xbox 360,0,0,0,0,266250
batman arkham asylum xbox 360,0,0,0,0,98000
batman arkham asylum xbox 360 نشر جی بی تیم,0,0,0,0,240000
batman arkham asylum ایکس باکس 360,0,0,0,0,295000
batman arkham city xbox 360,0,0,0,0,355000
batman arkham city xbox360,0,0,0,0,145000
