game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
007first light,0,0,0,0,11640000
41 hours,0,0,0,0,3490000
a plague tale innocence,0,0,0,0,5840000
a plague tale_requiem,0,0,0,0,6000000
aew fight forever,0,0,0,0,4470000
alan wake 2 نسخه deluxe edition,0,0,0,0,6999000
alan wake remastered,0,0,0,0,13350000
aliens dark descent,0,0,0,0,3160000
alone in the dark,0,0,0,0,6000000
anno 117 pax romana,0,0,0,0,6190000
ark survival ascended,0,0,0,0,8880000
asphalt legends unite نسخه supercharged edition,0,0,0,0,3800000
assassins creed mirage,0,0,0,0,5500000
assassins creed mirage نسخه launch edition,0,0,0,0,10500000
assassins creed shadows,0,0,0,0,5898000
assassin’s creed valhalla,0,0,0,0,3585000
asterigos curse of the stars,0,0,0,0,13850000
astro bot,0,0,0,0,6900000
atomic heart,0,0,0,0,4200000
avatar frontiers of pandora special edition,0,0,0,0,7300000
avatar frontiers of pandora نسخه from the ashes,0,0,0,0,5490000
baby shark sing and swim party,0,0,0,0,3530000
banishers ghosts of new eden,0,0,0,0,3760000
battlefield 6,0,0,0,0,8870000
ben 10 power trip,0,0,0,0,6500000
biomutant,0,0,0,0,7500000
black myth wukong,0,0,0,0,9200000
blood bowl 3,0,0,0,0,4080000
borderlands 4,0,0,0,0,8900000
call of duty black ops 6,0,0,0,0,5970000
call of duty black ops 7,0,0,0,0,8980000
call of duty black ops cold war,0,0,0,0,15900000
call of duty modern warfare 2,0,0,0,0,9800000
call of duty modern warfare 3,0,0,0,0,8800000
call of duty vanguard,0,0,0,0,8200000
chernobylite,0,0,0,0,4700000
chicken run eggstraction,0,0,0,0,9980000
clair obscur expedition 33,0,0,0,0,6870000
code vein ii,0,0,0,0,12500000
control ultimate edition,0,0,0,0,4385000
crash team rumble,0,0,0,0,12950000
crazy chicken jump n run traps and treasures,0,0,0,0,3670000
crimson desert نسخه day one edition,0,0,0,0,11640000
cronos the new dawn,0,0,0,0,6880000
crossfire sierra squad ps vr2,0,0,0,0,4420000
cyberpunk 2077 phantom liberty نسخه ultimate edition,0,0,0,0,6210000
darksiders ii نسخه deathinitive,0,0,0,0,4480000
days of doom,0,0,0,0,3100000
dead island 2 day one edition,0,0,0,0,4390000
dead space remake,0,0,0,0,6400000
death stranding director’s cut,0,0,0,0,4940000
deathloop,0,0,0,0,4800000
demon’s souls,0,0,0,0,7140000
devil may cry 5 special edition,0,0,0,0,7750000
diablo iv,0,0,0,0,8900000
directive 8020 نسخه deluxe edition,0,0,0,0,8250000
dolphin spirit ocean mission,0,0,0,0,3390000
doom the dark ages,0,0,0,0,7880000
dragons dogma 2,0,0,0,0,8650000
dreamworks all star kart racing,0,0,0,0,3200000
dying light 2,0,0,0,0,4545000
ea sports fc 24,0,0,0,0,7500000
ea sports fc 24 all,0,0,0,0,8500000
ea sports fc 25,0,0,0,0,5500000
ea sports fc 26,0,0,0,0,4795000
ea sports fc 26 all,0,0,0,0,6000000
ea sports wrc,0,0,0,0,8850000
elden ring,0,0,0,0,4965000
elden ring nightreign,0,0,0,0,14000000
elden ring نسخه shadow of the erdtree edition,0,0,0,0,6900000
everspace 2 stellar edition,0,0,0,0,4600000
evil west,0,0,0,0,4950000
f1 2023,0,0,0,0,14980000
f1 24,0,0,0,0,14600000
f1 25,0,0,0,0,8870000
far cry 6,0,0,0,0,3195000
fatal frame ii crimson butterfly remake,0,0,0,0,8880000
final fantasy vii rebirth,0,0,0,0,7890000
final fantasy xvi,0,0,0,0,9700000
firefighting simulation the squad,0,0,0,0,3890000
five nights at freddys help wanted 2 ps vr2,0,0,0,0,7200000
five nights at freddys security breach,0,0,0,0,5900000
five nights at freddy’s into the pit,0,0,0,0,6440000
five nights at freddy’s secret of the mimic,0,0,0,0,5890000
forspoken,0,0,0,0,13950000
gangs of sherwood,0,0,0,0,3690000
garfield lasagna party,0,0,0,0,3480000
gears of war reloaded,0,0,0,0,5590000
ghost of tsushima director’s cut,0,0,0,0,5590000
ghostrunner 2,0,0,0,0,3750000
ghostwire tokyo,0,0,0,0,9000000
god of war ragnarok,0,0,0,0,4998000
godfall,0,0,0,0,2840000
gord,0,0,0,0,3665000
gotham knights,0,0,0,0,4795000
gran turismo 7,0,0,0,0,6290000
gta v,0,0,0,0,3895000
hades,0,0,0,0,5890000
helldivers 2,0,0,0,0,3450000
hitman 3,0,0,0,0,8500000
hitman world of assassination,0,0,0,0,5130000
hitman world of assassination نسخه 25th anniversary,0,0,0,0,6240000
hogwarts legacy,0,0,0,0,5870000
horizon forbidden west,0,0,0,0,4890000
horizon forbidden west complete edition,0,0,0,0,7260000
horizon zero dawn remastered,0,0,0,0,4880000
immortals of aveum,0,0,0,0,3970000
indiana jones and the great circle all,0,0,0,0,14800000
inspector gadget mad time party,0,0,0,0,2450000
invincible vs,0,0,0,0,7840000
jurassic world evolution 3,0,0,0,0,8930000
just dance 2024 edition,0,0,0,0,7900000
