game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
a plague tale collection,0,0,0,0,12900000
a plague tale requiem,0,0,0,0,4200000
a quiet place the road ahead,0,0,0,0,3829000
a red walking robot,0,0,0,0,5263000
adam wolfe,0,0,0,0,4095000
aew fight forever,0,0,0,0,3894000
afterimage,0,0,0,0,3580000
air twister,0,0,0,0,5032000
alan wake 2 نسخه deluxe edition,0,0,0,0,6625000
alone in the dark,0,0,0,0,3823000
among ashes,0,0,0,0,5370000
anno 117 pax romana,0,0,0,0,5901000
anno 1800 console edition,0,0,0,0,3480000
archetype arcadia,0,0,0,0,4246000
armored core vi fires of rubicon,0,0,0,0,5725000
assassins creed mirage,0,0,0,0,4071000
assassin’s creed valhalla,0,0,0,0,3637000
assetto corsa competizione,0,0,0,0,7900000
asterix and obelix xxl 2 mission las vegum,0,0,0,0,4850000
asterix maxi collection,0,0,0,0,7539000
atari mania,0,0,0,0,4509000
atelier yumis,0,0,0,0,6394000
atomfall,0,0,0,0,2428000
atomic heart,0,0,0,0,4325000
avatar frontiers of pandora,0,0,0,0,6400000
avatar the last airbender quest for balance,0,0,0,0,6700000
baby shark sing and swim party,0,0,0,0,3854000
balatro,0,0,0,0,5340000
baldurs gate 3,0,0,0,0,11618000
banishers ghosts of new eden,0,0,0,0,5737000
battle of rebel,0,0,0,0,5535000
battlefield 6,0,0,0,0,12210000
ben 10 power trip,0,0,0,0,4775000
bendy lone wolf,0,0,0,0,4916000
biomutant,0,0,0,0,5191000
bitmap bureau collection,0,0,0,0,6019000
black myth wukong,0,0,0,0,9925000
blackwind,0,0,0,0,4095000
blades of fire,0,0,0,0,4191000
blazing strike,0,0,0,0,4450000
bleach rebirth of souls,0,0,0,0,8683000
bluey the videogame,0,0,0,0,3960000
borderlands 4,0,0,0,0,9594000
bratz rhythm and style,0,0,0,0,6645000
brok the investigator,0,0,0,0,4718000
bus bound,0,0,0,0,5631000
bye sweet carole,0,0,0,0,6408000
call of duty black ops 6,0,0,0,0,7092000
call of duty black ops 7,0,0,0,0,7795000
carmen sandiego 40th anniversary,0,0,0,0,6635000
cave digger 2 dig harder ps vr2,0,0,0,0,4707000
chernobylite,0,0,0,0,3908000
chicken run eggstraction,0,0,0,0,7006000
civilization vii,0,0,0,0,6025000
clair obscur expedition 33,0,0,0,0,6742000
coastline flight simulator,0,0,0,0,5097000
cobra kai 2 dojos rising,0,0,0,0,5235000
code vein 2,0,0,0,0,6969000
contra operation galuga,0,0,0,0,7493000
core keeper,0,0,0,0,4252000
crime boss rockay city,0,0,0,0,4228000
crisis core final fantasy 7 remake,0,0,0,0,4069000
cronos the new dawn,0,0,0,0,6236000
crossfire sierra squad ps vr2,0,0,0,0,5490000
cyberpunk 2077 ultimate edition,0,0,0,0,7193000
cygni all guns blazing,0,0,0,0,4018000
daemon x machina titanic scion,0,0,0,0,6635000
daymare 1994 sandcastle,0,0,0,0,6400000
dead island 2,0,0,0,0,4215000
dead space,0,0,0,0,4938000
death stranding 2,0,0,0,0,8430000
deliver us the moon,0,0,0,0,5900000
demon slayer kimetsu no yaiba the hinokami chronicles 2,0,0,0,0,7524000
demons souls,0,0,0,0,5939000
desolatium,0,0,0,0,4045000
detective collection,0,0,0,0,5058000
diablo 4,0,0,0,0,7042000
disciples domination deluxe edition,0,0,0,0,7455000
disney epic mickey rebrushed,0,0,0,0,8310000
disney illusion island starring mickey and friends,0,0,0,0,4581000
dollhouse behind the broken mirror,0,0,0,0,5506000
doom 1 and doom 2,0,0,0,0,9858000
doom the dark ages,0,0,0,0,7800000
dragon age the veilguard,0,0,0,0,4007000
dragon quest 3 hd 2d remake,0,0,0,0,6962000
dragons dogma 2,0,0,0,0,4876000
dreadout remastered collection,0,0,0,0,6975000
dreamworks all star kart racing,0,0,0,0,2869000
dyschronia chronos alternate ps vr2,0,0,0,0,3704000
ea sports ufc 6,0,0,0,0,11010000
ea sports wrc,0,0,0,0,5150000
elden ring nightreign,0,0,0,0,3470000
elden ring shadow of the erdtree,0,0,0,0,7406000
enotria the last song,0,0,0,0,4076000
ereban shadow legacy,0,0,0,0,6857000
everybodys golf hot shots,0,0,0,0,6251000
evil dead the game,0,0,0,0,3596000
evil nun the broken mask,0,0,0,0,4574000
evil west,0,0,0,0,3813000
farm for your life,0,0,0,0,2450000
farming simulator 25,0,0,0,0,5565000
fast and furious arcade edition,0,0,0,0,4288000
fatal frame 2 crimson butterfly remake,0,0,0,0,8214000
final fantasy 7 rebirth,0,0,0,0,5808000
final fantasy tactics the ivalice chronicles,0,0,0,0,4911000
final fantasy vii remake intergrade and final fantasy vii rebirth,0,0,0,0,9364000
final fantasy xvi,0,0,0,0,5046000
five nights at freddys help wanted 2 vr2,0,0,0,0,5203000
five nights at freddy’s into the pit,0,0,0,0,5678000
flint treasure of oblivion,0,0,0,0,6015000
forspoken,0,0,0,0,3392000
front mission 1st remake,0,0,0,0,4081000
frostpunk 2,0,0,0,0,7033000
funko fusion,0,0,0,0,3137000
gears of war reloaded,0,0,0,0,6016000
ghost master,0,0,0,0,6009000
ghost of yotei,0,0,0,0,9642000
ghost runner 2,0,0,0,0,3500000
ghostbusters spirits unleashed,0,0,0,0,5724000
gotham knights,0,0,0,0,4171000
gothic remake,0,0,0,0,8385000
grand theft auto v,0,0,0,0,4364000
