game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
007 first light,0,0,0,0,12450000
a quiet place the road ahead,0,0,0,0,4850000
alan wake 2,0,0,0,0,9350000
alone in the dark,0,0,0,0,6350000
amerzone the explorer's legacy,0,0,0,0,7150000
anno 117 pax romana,0,0,0,0,7000000
armored core 6 fires of rubicon,0,0,0,0,10650000
assassin creed shadow,0,0,0,0,7250000
assassin's creed black flag resynced نسخه lunch edition,0,0,0,0,10890000
assassin's creed black flag resynced نسخه استاندارد,0,0,0,0,9400000
assassin's creed mirage,0,0,0,0,7650000
assassin's creed valhalla,0,0,0,0,7750000
astro bot,0,0,0,0,7800000
atomic heart,0,0,0,0,5550000
banishers ghosts of new eden,0,0,0,0,5350000
battlefield 2042,0,0,0,0,5850000
battlefield 6,0,0,0,0,7400000
ben 10 power trip,0,0,0,0,6600000
black myth wukong,0,0,0,0,11150000
blasphemous ii,0,0,0,0,5250000
borderlands 3 ultimate edition,0,0,0,0,10050000
borderlands 4,0,0,0,0,10450000
call of duty black ops 6,0,0,0,0,8050000
call of duty black ops cold war,0,0,0,0,7350000
call of duty modern warfare iii,0,2100000,1950000,0,9850000
cave digger 2 dig harder vr2,0,0,0,0,5350000
chernobylite,0,0,0,0,5850000
chicken run eggstraction,0,0,0,0,6600000
civilization vii,0,0,0,0,7350000
clair obscur expedition 33,0,0,0,0,8000000
code vein 2,0,0,0,0,8400000
control ultimate edition,0,0,0,0,7750000
crimson desert day one edition,0,0,0,0,12650000
crisis core final fantasy vii reunion,0,0,0,0,3700000
cronos the new dawn,0,0,0,0,8250000
crossfire sierra squad_psvr2,0,0,0,0,6850000
cyberpunk 2077 phantom liberty ultimate edition,0,0,0,0,7150000
daemon x machina titan sonic,0,0,0,0,8350000
dead island2 hella edition,0,0,0,0,30950000
death stranding,0,0,0,0,6350000
death stranding 2 on the beach,0,0,0,0,8850000
deathloop,0,0,0,0,8650000
demon slayer the hinokami chronicles,0,0,0,0,8350000
demon's souls,0,0,0,0,7300000
devil may cry 5 special edition,0,0,0,0,5400000
diablo iv,0,0,0,0,7550000
directive 8020,0,0,0,0,8750000
disney illusion island starring mickey & friends,0,0,0,0,7350000
doom the dark ages,0,0,0,0,7750000
dragon age the veilguard,0,0,0,0,7150000
dragon ball xenoverse 2,0,0,0,0,10900000
dragon ball z kakarot,0,0,0,0,10300000
dragon dogma stellbook,0,0,0,0,7250000
dying light 2,0,0,0,0,8600000
elden ring,0,0,0,0,7450000
elden ring nightreign seekers edition,0,0,0,0,9350000
elden ring shadow of the erdtree,0,0,0,0,7350000
epic mickey rebrushed,0,0,0,0,6050000
eriksholm the stolen dream,0,0,0,0,6900000
eternights,0,0,0,0,4350000
evil nun the broken mask unholy edition,0,0,0,0,5350000
evil west,0,0,0,0,5850000
farcry 6,0,0,0,0,5200000
fatal frame 2 crimson butterfly remake,0,0,0,0,10850000
