game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
#drive rally,0,0,0,0,9450000
007: first light,0,0,0,0,12950000
007: first light نسخه legacy,0,0,0,0,70000000
007: first light نسخه کالکتور,0,0,0,0,55000000
1348: ex voto,0,0,0,0,9850000
34sports games نسخه world,0,0,0,0,4850000
8doors: arum's afterlife adventure,0,0,0,0,5900000
a plague tale: innocence,0,0,0,0,5950000
a plague tale: requiem,0,0,0,0,6950000
ad infinitum,0,0,0,0,5800000
adam wolfe,0,0,0,0,5000000
aew: fight forever,0,0,0,0,5000000
against the storm,0,0,0,0,6000000
agatha christie: death on the nile نسخه محدود,0,0,0,0,7950000
airoheart,0,0,0,0,4500000
akka arrh نسخه ویژه,0,0,0,0,7990000
alan wake ii نسخه دلوکس,0,0,0,0,7450000
alex kidd the miracle world dx,0,0,0,0,5000000
alien fireteam elite,0,0,0,0,6900000
aliens: dark descent,0,0,0,0,6400000
alone in the dark,0,0,0,0,5950000
amerzone: the explorer's legacy نسخه 25 سالگی,0,0,0,0,6950000
animal kart racer,0,0,0,0,4000000
anno 117: pax romana,0,0,0,0,7950000
anno 1800 نسخه,0,0,0,0,5950000
arcadegeddon,0,0,0,0,5990000
armored core 6: fires of rubicon,0,0,0,0,5950000
armored core iv: fires of rubicon نسخه launch,0,0,0,0,13900000
asphalt legends unite نسخه supercharged,0,0,0,0,7800000
assassin's creed shadows,0,0,0,0,6950000
asterix & obelix xxl romastered,0,0,0,0,5000000
astro bot,0,0,0,0,7950000
atari 50: the anniversary celebration,0,0,0,0,6400000
atelier yumia: the alchemist of memories & the envisioned land,0,0,0,0,9500000
atomfall,0,0,0,0,4950000
atomic heart,0,0,0,0,6300000
avatar the last airbender: quest for balance,0,0,0,0,9950000
avengers,0,0,0,0,9500000
back 4 blood,0,0,0,0,5900000
backbeat,0,0,0,0,5000000
balan wonderworld,0,0,0,0,4500000
baldur's gate 3,0,0,0,0,14950000
banishers: ghosts of new eden,0,0,0,0,7900000
barbie horse trails,0,0,0,0,6850000
battle of rebels,0,0,0,0,6450000
battlefield 6,0,0,0,0,7950000
battlefield 6 نسخه phantom,0,0,0,0,15450000
bee simulator: the hive,0,0,0,0,6000000
behemoth ps vr2,0,0,0,0,5950000
beholder 3,0,0,0,0,5000000
beyond a steel sky نسخه beyond a steelbook,0,0,0,0,6990000
bibi & tina at the horse farm,0,0,0,0,4500000
biomutant,0,0,0,0,5400000
bitmap bureau collection,0,0,0,0,6000000
bitmap bureau collection نسخه دلوکس,0,0,0,0,15900000
black myth: wukong,0,0,0,0,9950000
blacksad: under the skin,0,0,0,0,5000000
blackwind,0,0,0,0,5000000
blades of fire نسخه day one,0,0,0,0,5950000
blasphemous ii,0,0,0,0,7500000
blazing strike,0,0,0,0,6900000
bleak faith: forsaken,0,0,0,0,7900000
bloodroots,0,0,0,0,11450000
borderlands 3 نسخه ultimate,0,0,0,0,4950000
borderlands 4,0,0,0,0,10900000
bridge curse 2: the extrication,0,0,0,0,6000000
brok the investigator,0,0,0,0,5500000
brotato,0,0,0,0,6900000
bus bound نسخه دلوکس,0,0,0,0,8500000
call of duty black ops: cold war,0,0,0,0,7500000
call of duty: black ops 6,0,0,0,0,9900000
call of duty: black ops 7,0,0,0,0,7950000
call of duty: modern warfare iii,0,0,0,0,9500000
cat quest iii,0,0,0,0,5990000
catan نسخه سوپر دلوکس,0,0,0,0,6990000
cave digger 2: dig harder ps vr2,0,0,0,0,4950000
chef life: a restaurant simulator نسخه al forno,0,0,0,0,5400000
chicken run: eggstraction,0,0,0,0,5950000
chivalry 2 نسخه day one,0,0,0,0,7900000
choo-choo charles,0,0,0,0,6900000
chronicles of 2 heroes: amaterasu's wrath,0,0,0,0,5000000
civilization vii,0,0,0,0,7950000
clair obscur: expedition 33,0,0,0,0,6950000
clash: artifacts of chaos نسخه zeno,0,0,0,0,5000000
classified: france '44,0,0,0,0,5000000
coastline flight simulator,0,0,0,0,6900000
commandos: origins نسخه دلوکس,0,0,0,0,10500000
concept destruction,0,0,0,0,4500000
concord,0,0,0,0,5500000
conscript نسخه دلوکس,0,0,0,0,6400000
contra: operation galuga,0,0,0,0,7950000
