game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
007 first light,0,0,0,0,12200000
assassin's creed shadows,0,0,0,0,7290000
assassins creed mirage,0,0,0,0,5200000
astro bot,0,0,0,0,6700000
avatar frontiers of pandora,0,0,0,0,11600000
battlefield 6,0,0,0,0,7800000
black myth wukong,0,0,0,0,9650000
elden ring shadow of the erdtree,0,0,0,0,7400000
f1 2025 نسخه استاندارد,0,0,0,0,7500000
fc 26,0,0,0,0,5140000
ghost of yotei,0,0,0,0,9700000
hell is us,0,0,0,0,8800000
indiana jones and the great circle,0,0,0,0,18700000
lego 2k drive,0,0,0,0,8700000
lies of p,0,0,0,0,5400000
mortal kombat 1,0,0,0,0,4700000
ride 5,0,0,0,0,5600000
robocop rogue city,0,0,0,0,6300000
silent hill 2,0,0,0,0,8600000
silent hill f,0,0,0,0,8600000
sniper elite resistance,0,0,0,0,9110000
spider man 2,0,0,0,0,7200000
split fiction,0,0,0,0,6700000
spongebob squarepants the patrick star game,0,0,0,0,9700000
tekken 8,0,0,0,0,5800000
the crew motorfest,0,0,0,0,5400000
the last of us 2 remastered,0,0,0,0,5700000
ufc 5,0,0,0,0,5300000
warhammer 40000 space marine ii,0,0,0,0,12000000
