game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
007 first light,1500000,5498000,3498000,0,0
arc raiders,400000,2448000,1448000,0,0
assassin’s creed black flag resynced,1500000,5698000,3698000,0,0
borderlands 4,450000,3348000,2348000,0,0
call of duty black ops 7 و ps4,0,4348000,2498000,0,0
call of duty modern warfare 4 و ps4,1500000,6998000,4998000,0,0
clair obscur expedition 33,1000000,3098000,2098000,0,0
control resonant,1500000,4998000,2998000,0,0
days gone remastered,600000,2998000,1998000,0,0
dispatch,400000,2498000,1498000,0,0
dying light the beast,700000,3498000,2498000,0,0
elden ring nightreign,0,2698000,1498000,0,0
f1 25 standard edition,500000,2698000,1798000,0,0
fc26 و ps4,800000,1998000,888000,0,0
forza horizon 5 deluxe edition,0,3148000,1798000,0,0
forza horizon 5 premium edition,400000,3348000,2348000,0,0
gears of war reloaded,300000,1988000,998000,0,0
grand theft auto vi ultimate edition,2500000,10498000,5998000,0,0
halo campaign evolved,1350000,4948000,3948000,0,0
hollow knight silksong,300000,1448000,898000,0,0
lego marvel super heroes 2 و ps4,400000,798000,498000,0,0
marvels wolverine,1500000,6498000,4498000,0,0
mortal kombat 1: definitive edition,600000,2498000,1498000,0,0
nba 2k26,600000,2498000,998000,0,0
nioh 3,700000,4998000,3998000,0,0
resident evil requiem,1000000,4998000,3498000,0,0
senuas saga hellblade ii,400000,2448000,1448000,0,0
silent hill f,650000,3898000,2898000,0,0
split fiction,1200000,3398000,2348000,0,0
the elder scrolls iv oblivion remastered,350000,2348000,1248000,0,0
the first berserker khazan,400000,2678000,1878000,0,0
ufc 6,1000000,4998000,2998000,0,0
uncharted the nathan drake collection,150000,698000,398000,0,0
wwe 2k26,1250000,4998000,2998000,0,0
قانونی doom the dark ages,450000,2848000,1848000,0,0
قانونی forza horizon 5,600000,2498000,1498000,0,0
قانونی ghost of yotei,1000000,4998000,3698000,0,0
قانونی gta 6,2500000,8498000,4498000,0,0
قانونی kingdom come deliverance 2,700000,3198000,1848000,0,0
قانونی metal gear solid δ: snake eater,500000,3748000,2148000,0,0
قانونی ninja gaiden 2 black,300000,2148000,1348000,0,0
قانونی the lego games bundle,350000,648000,448000,0,0
قانونی wwe 2k25 و ps4,400000,1998000,1278000,0,0
قانونی پلی استیشن پلاس اکسترا playstation plus extra,3098000,2748000,1848000,0,0
قانونی پلی استیشن پلاس پرمیوم playstation plus premium(دیلاکس),3598000,3098000,2348000,0,0
پلاس اسنشیال playstation plus essential,2598000,2248000,948000,0,0
