game_name,concept_id,us_price,us_original_price,us_discount_pct,tr_price,tr_original_price,tr_discount_pct
Star Wars: Republic Commando,10000469,$14.99,,,"525,00 TL",,
Final Fantasy XIV Online,201579,$19.99,,,"649,00 TL",,
Call of Duty: Black Ops,10017657,$19.99,$39.99,,"800,00 TL","1.600,00 TL",
DC Universe Online,200995,Free,,,,,
Grand Theft Auto V,201930,Included,$39.99,,Dahil,"1.399,00 TL",
The Elder Scrolls Online,204861,$4.99,$19.99,Save 75%,"112,49 TL","449,99 TL",%75 indirimden yararlanın
Call of Duty: Black Ops II,10017658,$19.99,$39.99,,"800,00 TL","1.600,00 TL",
Hotline Miami,202006,,,,,,
Cyberpunk 2077,234567,Included,$49.99,,Dahil,"2.799,00 TL",
Fortnite,228748,Free,,,Ücretsiz,,
Path of Exile,231987,Free,,,Ücretsiz,,
The Witcher 3: Wild Hunt,204794,$9.99,$49.99,Save 80%,"254,00 TL",,
Tom Clancy's The Division,204941,Included,$29.99,,Ücretsiz,,
DayZ,221850,$54.99,,,"2.349,00 TL",,
Hotline Miami 2: Wrong Number,10006547,Included,$14.99,,Dahil,"649,00 TL",
War Thunder,205366,Free,,,Ücretsiz,,
Warframe,205342,Free,,,Ücretsiz,,
Kingdom Hearts III,208810,$23.99,$59.99,Save 60%,"999,60 TL","2.499,00 TL",%60 indirimden yararlanın
Dying Light,201129,$2.49,$24.99,Save 90%,"87,50 TL","875,00 TL",%90 indirimden yararlanın
No Man's Sky,216600,$59.99,,,"1.249,00 TL",,
The Night of the Rabbit,10005832,$9.99,$19.99,Save 50%,"349,50 TL","699,00 TL",%50 indirimden yararlanın
Space Engineers,10002535,Included,$19.99,,Dahil,"595,00 TL",
Cookie Clicker,10008761,$4.99,,,"236,00 TL",,
Wreckfest,227252,$39.99,,,"1.399,00 TL",,
Kingdom Come: Deliverance,227410,Included,$29.99,,Dahil,"1.299,00 TL",
To the Moon,10012096,$9.99,,,"429,00 TL",,
7 Days to Die,216130,,,,,,
Assassin's Creed Unity,200088,Included,$29.99,,Dahil,"1.749,00 TL",
Far Cry 4,201624,Included,$19.99,,Ücretsiz,,
Hunt: Showdown 1896,234014,$29.99,,,"1.049,00 TL",,
Dead Island 2,201061,Free,,,Ücretsiz,,
"I Have No Mouth, and I Must Scream",10012592,$9.99,,,"429,00 TL",,
Crimsonland,200878,$13.99,,,"429,00 TL",,
Hellblade: Senua's Sacrifice,10013503,$20.99,$29.99,Save 30%,"629,30 TL","899,00 TL",%30 indirimden yararlanın
Avenging Spirit,10005397,$2.99,$5.99,Save 50%,"104,50 TL","209,00 TL",%50 indirimden yararlanın
Verdun,216757,$19.99,,,"699,00 TL",,
Quest for Infamy,10004270,$9.99,,,"349,00 TL",,
Assassin's Creed Syndicate,212339,Included,$29.99,,Dahil,"1.749,00 TL",
The Long Dark,229391,Included,$34.99,,Dahil,"1.299,00 TL",
Ultimate General: Gettysburg,10008360,$14.99,,,"525,00 TL",,
Shantae and the Pirate's Curse,211120,$19.99,,,"849,00 TL",,
Gas Guzzlers Extreme,233981,$19.99,,,"849,00 TL",,
Dreaming Sarah,10000999,$4.99,,,"215,00 TL",,
Postal: Redux,10001898,$11.99,,,"419,00 TL",,
Vampyr,205200,Included,$39.99,,Dahil,"1.399,00 TL",
Besiege,10002309,$5.99,$19.99,,"209,70 TL","699,00 TL",
Subnautica,232883,$29.99,,,"1.049,00 TL",,
Mount & Blade II: Bannerlord,233621,$49.99,,,"1.749,00 TL",,
Fallout 4,201511,Included,$19.99,,Dahil,"699,00 TL",
Stasis,10014620,$9.99,,,"429,00 TL",,
Long Live the Queen,10005354,$9.99,,,"429,00 TL",,
Flower Shop: Summer In Fairbrook,10004801,$3.99,$9.99,Save 60%,"139,60 TL","349,00 TL",%60 indirimden yararlanın
Cloudberry Kingdom,10011065,$14.49,,,"623,00 TL",,
Night in the Woods,221960,$9.99,$19.99,,"424,50 TL","849,00 TL",
Dreamscapes: The Sandman,10011607,$29.99,,,"1.299,00 TL",,
Thumper,211798,$19.99,,,"849,00 TL",,
Ratchet & Clank,214653,$19.99,,,"849,00 TL",,
Sea of Thieves,10008884,$13.99,$39.99,Save 65%,"349,65 TL","999,00 TL",%65 indirimden yararlanın
Dreams,206887,Included,$19.99,,Dahil,"1.399,00 TL",
Horizon Zero Dawn,221727,Included,$49.99,,Dahil,"2.149,00 TL",
For Honor,221694,Included,$29.99,,Dahil,"1.049,00 TL",
Final Fantasy VII Remake,228744,Included,$39.99,,Dahil,"1.749,00 TL",
Rocket League,203715,Free,,,Ücretsiz,,
What Remains of Edith Finch,211984,$19.99,,,"699,00 TL",,
"Cook, Serve, Delicious!",10009674,$12.99,,,"559,00 TL",,
"Warhammer 40,000: Inquisitor - Martyr",231180,$49.99,,,"2.149,00 TL",,
Hero Siege,10010354,$19.99,,,"849,00 TL",,
Outer Wilds,229826,$24.99,,,"879,00 TL",,
Chasm: The Rift,10007462,$19.99,,,"849,00 TL",,
Yakuza Kiwami,217751,$19.99,,,"849,00 TL",,
Bard's Gold,216918,$4.99,,,"257,00 TL",,
Far Cry: Primal,201634,Included,$29.99,,Dahil,"1.399,00 TL",
Paint the Town Red,10001938,$19.99,,,"595,00 TL",,
Astroneer,234630,Included,$29.99,,Dahil,"1.299,00 TL",
Manifold Garden,231923,$19.99,,,"774,00 TL",,
Kingdom Hearts HD 2.8 Final Chapter Prologue,221709,$59.99,,,"2.299,00 TL",,
